edad,tipo_empleo,codigo,nivel_educativo,experiencia,estado_civil,ocupacion,raza,genero,ganancias,perdidas,horas_semanales,pais,salario
56.0,Local-gov,216851,Advanced Education,13,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,>50K
19.0,Private,168294,High School,9,Never-married,Craft-repair,White,Male,0,0,40,United-States,<=50K
54.0,Private,180211,Post-Secondary Education,10,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,0,0,60,South,>50K
39.0,Private,367260,High School,9,Divorced,Exec-managerial,White,Male,0,0,80,United-States,<=50K
49.0,Private,193366,High School,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,<=50K
23.0,Local-gov,190709,Post-Secondary Education,12,Never-married,Protective-serv,White,Male,0,0,52,United-States,<=50K
20.0,Private,266015,Post-Secondary Education,10,Never-married,Sales,Black,Male,0,0,44,United-States,<=50K
45.0,Private,386940,Advanced Education,13,Divorced,Exec-managerial,White,Male,0,1408,40,United-States,<=50K
30.0,Federal-gov,59951,Post-Secondary Education,10,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,<=50K
22.0,State-gov,311512,Post-Secondary Education,10,Married-civ-spouse,Other-service,Black,Male,0,0,15,United-States,<=50K
48.0,Private,242406,Basic Education,7,Never-married,Machine-op-inspct,White,Male,0,0,40,Puerto-Rico,<=50K
21.0,Private,197200,Post-Secondary Education,10,Never-married,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
19.0,Private,544091,High School,9,Married-AF-spouse,Adm-clerical,White,Female,0,0,25,United-States,<=50K
31.0,Private,84154,Post-Secondary Education,10,Married-civ-spouse,Sales,White,Male,0,0,38,United-States,>50K
48.0,Self-emp-not-inc,265477,Post-Secondary Education,12,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,<=50K
31.0,Private,507875,Basic Education,5,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,43,United-States,<=50K
53.0,Self-emp-not-inc,88506,Advanced Education,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,<=50K
24.0,Private,172987,Advanced Education,13,Married-civ-spouse,Tech-support,White,Male,0,0,50,United-States,<=50K
49.0,Private,94638,High School,9,Separated,Adm-clerical,White,Female,0,0,40,United-States,<=50K
25.0,Private,289980,High School,9,Never-married,Handlers-cleaners,White,Male,0,0,35,United-States,<=50K
57.0,Federal-gov,337895,Advanced Education,13,Married-civ-spouse,Prof-specialty,Black,Male,0,0,40,United-States,>50K
53.0,Private,144361,High School,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,38,United-States,<=50K
44.0,Private,128354,Advanced Education,14,Divorced,Exec-managerial,White,Female,0,0,40,United-States,<=50K
41.0,State-gov,101603,Post-Secondary Education,11,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,<=50K
29.0,Private,271466,Post-Secondary Education,11,Never-married,Prof-specialty,White,Male,0,0,43,United-States,<=50K
25.0,Private,32275,Post-Secondary Education,10,Married-civ-spouse,Exec-managerial,Other,Female,0,0,40,United-States,<=50K
18.0,Private,226956,High School,9,Never-married,Other-service,White,Female,0,0,30,United-States,<=50K
47.0,Private,51835,Advanced Education,15,Married-civ-spouse,Prof-specialty,White,Female,0,1902,60,Honduras,>50K
50.0,Federal-gov,251585,Advanced Education,13,Divorced,Exec-managerial,White,Male,0,0,55,United-States,>50K
47.0,Self-emp-inc,109832,High School,9,Divorced,Exec-managerial,White,Male,0,0,60,United-States,<=50K
43.0,Private,237993,Post-Secondary Education,10,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,>50K
46.0,Private,216666,Basic Education,3,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,Mexico,<=50K
35.0,Private,56352,Post-Secondary Education,11,Married-civ-spouse,Other-service,White,Male,0,0,40,Puerto-Rico,<=50K
41.0,Private,147372,High School,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,48,United-States,<=50K
30.0,Private,188146,High School,9,Married-civ-spouse,Machine-op-inspct,White,Male,5013,0,40,United-States,<=50K
30.0,Private,59496,Advanced Education,13,Married-civ-spouse,Sales,White,Male,2407,0,40,United-States,<=50K
32.0,Private,293936,Basic Education,4,Married-spouse-absent,Adm-clerical,White,Male,0,0,40,United-States,<=50K
48.0,Private,149640,High School,9,Married-civ-spouse,Transport-moving,White,Male,0,0,40,United-States,<=50K
42.0,Private,116632,Advanced Education,16,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,United-States,>50K
29.0,Private,105598,Post-Secondary Education,10,Divorced,Tech-support,White,Male,0,0,58,United-States,<=50K
36.0,Private,155537,High School,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,<=50K
28.0,Private,183175,Post-Secondary Education,10,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
53.0,Private,169846,High School,9,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,>50K
49.0,Self-emp-inc,191681,Post-Secondary Education,10,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,>50K
25.0,Private,200681,Post-Secondary Education,10,Never-married,Adm-clerical,White,Male,0,0,40,United-States,<=50K
19.0,Private,101509,Post-Secondary Education,10,Never-married,Prof-specialty,White,Male,0,0,32,United-States,<=50K
31.0,Private,309974,Advanced Education,13,Separated,Sales,Black,Female,0,0,40,United-States,<=50K
29.0,Self-emp-not-inc,162298,Advanced Education,13,Married-civ-spouse,Sales,White,Male,0,0,70,United-States,>50K
23.0,Private,211678,Post-Secondary Education,10,Never-married,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
36.78373786407767,Private,124744,Post-Secondary Education,10,Married-civ-spouse,Prof-specialty,White,Male,0,0,20,United-States,<=50K
27.0,Private,213921,High School,9,Never-married,Other-service,White,Male,0,0,40,Mexico,<=50K
40.0,Private,32214,Post-Secondary Education,12,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,<=50K
67.0,Private,212759,Basic Education,6,Married-civ-spouse,Adm-clerical,White,Male,0,0,2,United-States,<=50K
18.0,Private,309634,Basic Education,7,Never-married,Other-service,White,Female,0,0,22,United-States,<=50K
31.0,Local-gov,125927,Basic Education,4,Married-civ-spouse,Farming-fishing,White,Male,0,0,40,United-States,<=50K
18.0,Private,446839,High School,9,Never-married,Sales,White,Male,0,0,30,United-States,<=50K
52.0,Private,276515,Advanced Education,13,Married-civ-spouse,Other-service,White,Male,0,0,40,Cuba,<=50K
46.0,Private,51618,High School,9,Married-civ-spouse,Other-service,White,Female,0,0,40,United-States,<=50K
59.0,Private,159937,High School,9,Married-civ-spouse,Sales,White,Male,0,0,48,United-States,<=50K
44.0,Private,343591,High School,9,Divorced,Craft-repair,White,Female,14344,0,40,United-States,>50K
53.0,Private,346253,High School,9,Divorced,Sales,White,Female,0,0,35,United-States,<=50K
49.0,Local-gov,268234,High School,9,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,>50K
33.0,Private,202051,Advanced Education,14,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,United-States,<=50K
30.0,Private,54334,Basic Education,5,Never-married,Sales,White,Male,0,0,40,United-States,<=50K
43.0,Federal-gov,410867,Advanced Education,16,Never-married,Prof-specialty,White,Female,0,0,50,United-States,>50K
57.0,Private,249977,Post-Secondary Education,11,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,<=50K
37.0,Private,286730,Post-Secondary Education,10,Divorced,Craft-repair,White,Female,0,0,40,United-States,<=50K
28.0,Private,212563,Post-Secondary Education,10,Divorced,Machine-op-inspct,Black,Female,0,0,25,United-States,<=50K
30.0,Private,117747,High School,9,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,0,1573,35,United-States,<=50K
34.0,Local-gov,226296,Advanced Education,13,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,>50K
29.0,Local-gov,115585,Post-Secondary Education,10,Never-married,Handlers-cleaners,White,Male,0,0,50,United-States,<=50K
48.0,Self-emp-not-inc,191277,Advanced Education,16,Married-civ-spouse,Prof-specialty,White,Male,0,1902,60,United-States,>50K
37.0,Private,202683,Post-Secondary Education,10,Married-civ-spouse,Sales,White,Male,0,0,48,United-States,>50K
48.0,Private,171095,Post-Secondary Education,12,Divorced,Exec-managerial,White,Female,0,0,40,England,<=50K
32.0,Federal-gov,249409,High School,9,Never-married,Other-service,Black,Male,0,0,40,United-States,<=50K
44.24984058155847,Private,124191,Advanced Education,14,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,>50K
44.0,Private,198282,Advanced Education,13,Married-civ-spouse,Exec-managerial,White,Male,15024,0,60,United-States,>50K
47.0,Self-emp-not-inc,149116,Advanced Education,14,Never-married,Prof-specialty,White,Female,0,0,50,United-States,<=50K
20.0,Private,188300,Post-Secondary Education,10,Never-married,Tech-support,White,Female,0,0,40,United-States,<=50K
29.0,Private,103432,High School,9,Never-married,Craft-repair,White,Male,0,0,40,United-States,<=50K
32.0,Self-emp-inc,317660,High School,9,Married-civ-spouse,Craft-repair,White,Male,7688,0,40,United-States,>50K
17.0,Private,304873,Basic Education,6,Never-married,Adm-clerical,White,Female,34095,0,32,United-States,<=50K
30.0,Private,194901,Basic Education,7,Never-married,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
31.0,Local-gov,189265,High School,9,Never-married,Adm-clerical,White,Female,0,0,40,United-States,<=50K
42.0,Private,124692,High School,9,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
24.0,Private,432376,Advanced Education,13,Never-married,Sales,White,Male,0,0,40,United-States,<=50K
38.0,Private,65324,Advanced Education,15,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,>50K
56.0,Self-emp-not-inc,335605,High School,9,Married-civ-spouse,Other-service,White,Male,0,1887,50,Canada,>50K
28.0,Private,377869,Post-Secondary Education,10,Married-civ-spouse,Sales,White,Female,4064,0,25,United-States,<=50K
36.0,Private,102864,High School,9,Never-married,Machine-op-inspct,White,Female,0,0,40,United-States,<=50K
53.0,Private,95647,Basic Education,5,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,50,United-States,<=50K
56.0,Self-emp-inc,303090,Post-Secondary Education,10,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,<=50K
49.0,Local-gov,197371,Post-Secondary Education,11,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,United-States,>50K
55.0,Private,247552,Post-Secondary Education,10,Married-civ-spouse,Sales,White,Male,0,0,56,United-States,<=50K
22.0,Private,102632,High School,9,Never-married,Craft-repair,White,Male,0,0,41,United-States,<=50K
21.0,Private,199915,Post-Secondary Education,10,Never-married,Other-service,White,Female,0,0,40,United-States,<=50K
40.0,Private,118853,Advanced Education,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,United-States,<=50K
30.0,Private,77143,Advanced Education,13,Never-married,Exec-managerial,Black,Male,0,0,40,Germany,<=50K
29.0,State-gov,267989,Advanced Education,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,50,United-States,>50K
19.0,Private,301606,Post-Secondary Education,10,Never-married,Other-service,Black,Male,0,0,35,United-States,<=50K
47.0,Private,287828,Advanced Education,13,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,>50K
20.0,Private,111697,Post-Secondary Education,10,Never-married,Adm-clerical,White,Female,0,1719,28,United-States,<=50K
31.0,Private,114937,Post-Secondary Education,12,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,>50K
35.0,Private,129305,High School,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,<=50K
39.0,Private,365739,Post-Secondary Education,10,Divorced,Craft-repair,White,Male,0,0,40,United-States,<=50K
28.0,Private,69621,Post-Secondary Education,12,Never-married,Sales,White,Female,0,0,60,United-States,<=50K
24.0,Private,43323,High School,9,Never-married,Other-service,White,Female,0,1762,40,United-States,<=50K
38.0,Self-emp-not-inc,120985,High School,9,Married-civ-spouse,Craft-repair,White,Male,4386,0,35,United-States,<=50K
37.0,Private,254202,Advanced Education,13,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,<=50K
46.0,Private,146195,Post-Secondary Education,12,Divorced,Tech-support,Black,Female,0,0,36,United-States,<=50K
38.0,Federal-gov,125933,Advanced Education,14,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,Iran,>50K
43.0,Self-emp-not-inc,56920,High School,9,Married-civ-spouse,Craft-repair,White,Male,0,0,60,United-States,<=50K
27.0,Private,163127,Post-Secondary Education,11,Married-civ-spouse,Adm-clerical,White,Female,0,0,35,United-States,<=50K
20.0,Private,34310,Post-Secondary Education,10,Never-married,Sales,White,Male,0,0,20,United-States,<=50K
49.0,Private,81973,Post-Secondary Education,10,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
61.0,Self-emp-inc,66614,High School,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,<=50K
27.0,Private,232782,Post-Secondary Education,10,Never-married,Sales,White,Female,0,0,40,United-States,<=50K
19.0,Private,316868,Post-Secondary Education,10,Never-married,Other-service,White,Male,0,0,30,Mexico,<=50K
45.0,Private,196584,Post-Secondary Education,11,Never-married,Prof-specialty,White,Female,0,1564,40,United-States,>50K
70.0,Private,105376,Post-Secondary Education,10,Never-married,Tech-support,White,Male,0,0,40,United-States,<=50K
31.0,Private,185814,High School,9,Never-married,Transport-moving,Black,Female,0,0,30,United-States,<=50K
22.0,Private,175374,Post-Secondary Education,10,Married-civ-spouse,Other-service,White,Male,0,0,24,United-States,<=50K
36.0,Private,108293,High School,9,Widowed,Other-service,White,Female,0,0,24,United-States,<=50K
64.0,Private,181232,Basic Education,7,Married-civ-spouse,Craft-repair,White,Male,0,2179,40,United-States,<=50K
43.0,Private,174662,Post-Secondary Education,10,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
47.0,Local-gov,186009,Post-Secondary Education,10,Divorced,Adm-clerical,White,Female,0,0,38,Mexico,<=50K
34.0,Private,198183,High School,9,Never-married,Adm-clerical,White,Female,0,0,40,United-States,<=50K
33.0,Private,163003,Advanced Education,13,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
21.0,Private,296158,High School,9,Never-married,Craft-repair,White,Male,0,0,35,United-States,<=50K
52.0,Private,252903,High School,9,Divorced,Exec-managerial,White,Male,0,0,45,United-States,>50K
48.0,Private,187715,High School,9,Married-civ-spouse,Craft-repair,White,Male,0,0,46,United-States,<=50K
23.0,Private,214542,Advanced Education,13,Never-married,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
71.0,Self-emp-not-inc,494223,Post-Secondary Education,10,Separated,Sales,Black,Male,0,1816,2,United-States,<=50K
29.0,Private,191535,High School,9,Divorced,Craft-repair,White,Male,0,0,60,United-States,<=50K
42.0,Private,228456,Advanced Education,13,Separated,Other-service,Black,Male,0,0,50,United-States,<=50K
68.0,Private,38317,Basic Education,2,Divorced,Adm-clerical,White,Female,0,0,20,United-States,<=50K
25.0,Private,252752,High School,9,Never-married,Other-service,White,Female,0,0,40,United-States,<=50K
44.0,Self-emp-inc,78374,Advanced Education,14,Divorced,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28.0,Private,88419,High School,9,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,0,40,England,<=50K
45.0,Self-emp-not-inc,201080,Advanced Education,14,Married-civ-spouse,Sales,White,Male,0,0,40,United-States,>50K
36.0,Private,207157,Post-Secondary Education,10,Divorced,Other-service,White,Female,0,0,40,Mexico,<=50K
39.0,Federal-gov,235485,Post-Secondary Education,12,Never-married,Exec-managerial,White,Male,0,0,42,United-States,<=50K
46.0,State-gov,102628,Advanced Education,14,Widowed,Protective-serv,White,Male,0,0,40,United-States,<=50K
18.0,Private,25828,Basic Education,7,Never-married,Handlers-cleaners,White,Male,0,0,16,United-States,<=50K
66.0,Local-gov,54826,Post-Secondary Education,11,Widowed,Prof-specialty,White,Female,0,0,20,United-States,<=50K
27.0,Private,124953,High School,9,Never-married,Other-service,White,Male,0,1980,40,United-States,<=50K
28.0,State-gov,175325,High School,9,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,<=50K
51.0,Private,96062,Post-Secondary Education,10,Married-civ-spouse,Sales,White,Male,0,1977,40,United-States,>50K
27.0,Private,428030,Advanced Education,13,Never-married,Craft-repair,White,Male,0,0,50,United-States,<=50K
28.0,State-gov,149624,Advanced Education,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,>50K
27.0,Private,253814,High School,9,Married-spouse-absent,Sales,White,Female,0,0,25,United-States,<=50K
21.0,Private,312956,High School,9,Never-married,Craft-repair,Black,Male,0,0,40,United-States,<=50K
34.0,Private,483777,High School,9,Never-married,Handlers-cleaners,Black,Male,0,0,40,United-States,<=50K
18.0,Private,183930,High School,9,Never-married,Other-service,White,Male,0,0,12,United-States,<=50K
33.0,Private,37274,Advanced Education,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,65,United-States,<=50K
44.0,Local-gov,181344,Post-Secondary Education,10,Married-civ-spouse,Exec-managerial,Black,Male,0,0,38,United-States,>50K
43.0,Private,114580,Post-Secondary Education,10,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
30.0,Private,633742,Post-Secondary Education,10,Never-married,Craft-repair,Black,Male,0,0,45,United-States,<=50K
40.0,Private,286370,Basic Education,4,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,Mexico,>50K
37.0,Federal-gov,29054,Post-Secondary Education,10,Married-civ-spouse,Adm-clerical,White,Male,0,0,42,United-States,>50K
34.0,Private,304030,High School,9,Married-civ-spouse,Adm-clerical,Black,Male,0,0,40,United-States,<=50K
41.0,Self-emp-not-inc,143129,Advanced Education,13,Divorced,Exec-managerial,White,Female,0,0,40,United-States,<=50K
53.0,Private,135105,Advanced Education,13,Divorced,Adm-clerical,White,Female,0,0,50,United-States,<=50K
31.0,Private,99928,Advanced Education,14,Married-civ-spouse,Prof-specialty,White,Female,0,0,50,United-States,<=50K
58.0,State-gov,109567,Advanced Education,16,Married-civ-spouse,Prof-specialty,White,Male,0,0,1,United-States,>50K
38.0,Private,155222,Post-Secondary Education,10,Divorced,Machine-op-inspct,Black,Female,0,0,28,United-States,<=50K
24.0,Private,159567,Post-Secondary Education,10,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
41.0,Local-gov,523910,Advanced Education,13,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,United-States,<=50K
47.0,Private,120939,Post-Secondary Education,10,Married-civ-spouse,Tech-support,White,Male,0,0,45,United-States,<=50K
41.0,Federal-gov,130760,Advanced Education,13,Married-civ-spouse,Tech-support,White,Male,0,0,24,United-States,<=50K
23.0,Private,197387,Basic Education,3,Married-civ-spouse,Transport-moving,White,Male,0,0,40,Mexico,<=50K
36.0,Private,99374,Post-Secondary Education,10,Divorced,Craft-repair,White,Male,0,0,40,United-States,<=50K
40.0,Federal-gov,56795,Advanced Education,14,Never-married,Exec-managerial,White,Female,14084,0,55,United-States,>50K
35.0,Private,138992,Advanced Education,14,Married-civ-spouse,Prof-specialty,White,Male,7298,0,40,United-States,>50K
24.0,Self-emp-not-inc,32921,High School,9,Never-married,Sales,White,Male,0,0,40,United-States,<=50K
26.0,Private,397317,Advanced Education,14,Never-married,Prof-specialty,White,Female,0,1876,40,United-States,<=50K
19.0,Private,170653,High School,9,Never-married,Adm-clerical,White,Male,0,0,40,Italy,<=50K
51.0,Private,259323,Advanced Education,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,United-States,>50K
42.0,Local-gov,254817,Post-Secondary Education,10,Never-married,Prof-specialty,White,Female,0,1340,40,United-States,<=50K
37.0,State-gov,48211,High School,9,Divorced,Adm-clerical,White,Female,0,0,35,United-States,<=50K
18.0,Private,140164,Basic Education,7,Never-married,Sales,White,Female,0,0,40,United-States,<=50K
36.0,Private,128757,Advanced Education,13,Married-civ-spouse,Other-service,Black,Male,7298,0,36,United-States,>50K
35.0,Private,36270,High School,9,Divorced,Craft-repair,White,Male,0,0,60,United-States,<=50K
58.0,Self-emp-inc,210563,High School,9,Married-civ-spouse,Sales,White,Female,15024,0,35,United-States,>50K
17.0,Private,65368,Basic Education,7,Never-married,Sales,White,Female,0,0,12,United-States,<=50K
44.0,Local-gov,160943,High School,9,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,United-States,<=50K
37.0,Private,208358,High School,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,>50K
35.0,Private,153790,Post-Secondary Education,10,Never-married,Sales,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
60.0,Private,85815,High School,9,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
54.0,Self-emp-inc,125417,Basic Education,4,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,>50K
37.0,Private,635913,Advanced Education,13,Never-married,Exec-managerial,Black,Male,0,0,60,United-States,>50K
50.0,Private,313321,Post-Secondary Education,12,Divorced,Sales,White,Female,0,0,40,United-States,<=50K
38.0,Private,182609,Advanced Education,13,Married-civ-spouse,Sales,White,Male,0,0,50,Poland,<=50K
45.0,Private,109434,Advanced Education,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,55,United-States,<=50K
25.0,Private,255004,Basic Education,6,Never-married,Craft-repair,White,Male,0,0,40,United-States,<=50K
31.0,Private,197860,Post-Secondary Education,10,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
64.0,Private,187656,Basic Education,2,Divorced,Adm-clerical,White,Male,0,0,40,United-States,<=50K
36.78373786407767,Private,51744,High School,9,Never-married,Other-service,Black,Male,0,2206,40,United-States,<=50K
54.0,Private,176681,High School,9,Married-civ-spouse,Adm-clerical,Black,Male,0,0,20,United-States,<=50K
53.0,Local-gov,140359,Basic Education,1,Never-married,Machine-op-inspct,White,Female,0,0,35,United-States,<=50K
18.0,Private,243313,High School,9,Never-married,Sales,White,Female,0,0,40,United-States,<=50K
60.0,Private,24215,Basic Education,6,Divorced,Adm-clerical,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50K
66.0,Self-emp-not-inc,167687,High School,9,Married-civ-spouse,Farming-fishing,White,Male,1409,0,50,United-States,<=50K
75.0,Private,314209,Post-Secondary Education,11,Widowed,Adm-clerical,White,Female,0,0,20,Columbia,<=50K
65.0,Private,176796,High School,9,Divorced,Adm-clerical,White,Female,0,0,40,United-States,<=50K
35.0,Private,538583,Basic Education,7,Separated,Transport-moving,Black,Male,3674,0,40,United-States,<=50K
41.0,Private,130408,High School,9,Divorced,Sales,Black,Female,0,0,38,United-States,<=50K
25.0,Private,159732,Post-Secondary Education,10,Never-married,Adm-clerical,White,Male,0,0,42,United-States,<=50K
33.0,Private,110978,Post-Secondary Education,10,Divorced,Craft-repair,Other,Female,0,0,40,United-States,<=50K
28.0,Private,76714,Advanced Education,15,Never-married,Prof-specialty,White,Male,0,0,55,United-States,>50K
59.0,State-gov,268700,High School,9,Married-civ-spouse,Other-service,White,Male,0,0,40,United-States,<=50K
40.0,State-gov,170525,Post-Secondary Education,10,Never-married,Adm-clerical,White,Female,0,0,38,United-States,<=50K
41.0,Private,180138,Advanced Education,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,50,Iran,>50K
38.0,Local-gov,115076,Advanced Education,14,Married-civ-spouse,Exec-managerial,White,Male,0,0,70,United-States,>50K
23.0,Private,115458,High School,9,Never-married,Transport-moving,White,Male,0,0,40,United-States,<=50K
40.0,Private,347890,Advanced Education,13,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,>50K
41.0,Self-emp-not-inc,196001,High School,9,Married-civ-spouse,Other-service,White,Female,0,0,20,United-States,<=50K
24.0,State-gov,273905,Post-Secondary Education,12,Married-civ-spouse,Protective-serv,White,Male,0,0,50,United-States,<=50K
20.0,Private,119156,Post-Secondary Education,10,Never-married,Adm-clerical,White,Male,0,0,20,United-States,<=50K
38.0,Private,179488,Post-Secondary Education,10,Divorced,Craft-repair,White,Male,0,1741,40,United-States,<=50K
56.0,Private,203580,High School,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,35,United-States,<=50K
58.0,Private,236596,High School,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,45,United-States,>50K
32.0,Private,183916,High School,9,Never-married,Other-service,White,Female,0,0,34,United-States,<=50K
40.0,Private,207578,Post-Secondary Education,12,Married-civ-spouse,Tech-support,White,Male,0,1977,60,United-States,>50K
45.0,Private,153141,High School,9,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,<=50K
41.0,Private,112763,Advanced Education,15,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,>50K
42.0,Private,390781,Advanced Education,13,Married-civ-spouse,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
